preprocess,model,depth,horizon_ms,accuracy,f1_macro,f1_weighted,mcc,precision,recall,training_time,inference_time_ms,n_samples,f1_class_0,f1_class_1,f1_class_2
kalman,catboost,10,10000,0.5686868686868687,0.287917218031172,0.46600668598106365,0.05996907997189767,0.36998985726902145,0.34381275350754703,0.3678090572357178,0.007789905625160295,1980,0.7111412123264477,0.0,0.15261044176706828
kalman,catboost,20,100,0.8005,0.5544105209551643,0.768505186304812,0.6350309287994022,0.533673818737964,0.5770746559607869,0.37258195877075195,0.007905006408691406,2000,0.8430317848410758,0.0,0.8201997780244173
kalman,catboost,20,500,0.7443721860930466,0.5021539430516962,0.7345974491021952,0.5008330572854485,0.49603295912087564,0.5085694993207136,0.38892102241516113,0.007636789204538793,1999,0.7667946257197696,0.0,0.7396672034353193
kalman,catboost,20,1000,0.7282282282282282,0.4868147957718672,0.7247538928203149,0.4589007799884682,0.4848808475720913,0.4888581669226831,0.3740658760070801,0.007493956549628242,1998,0.7487083137623297,0.0,0.7117360735532721
kalman,catboost,20,5000,0.5708542713567839,0.31158130819057733,0.4936066281564967,0.08436643214527118,0.37641633728590246,0.35163236631126543,0.3873777389526367,0.00771218208811391,1990,0.7024390243902439,0.0,0.2323049001814882
kalman,catboost,20,10000,0.5712121212121212,0.30036128227092973,0.4817938257250443,0.07165981746483197,0.372510570995126,0.34748426022166923,0.3616600036621094,0.007633849827930181,1980,0.7085910652920963,0.0,0.19249278152069296
kalman,catboost,40,100,0.8015,0.5551116168853875,0.7695079870991399,0.6368744889563293,0.5341512487073561,0.5779028259636388,0.36914801597595215,0.007623076438903809,2000,0.8447937131630648,0.0,0.8205411374930978
kalman,catboost,40,500,0.7613806903451726,0.513812345229106,0.7514999970225092,0.5342993520880782,0.5073402365953187,0.5204703006286611,0.37734389305114746,0.007918025327360946,1999,0.7810536491058483,0.0,0.7603833865814696
kalman,catboost,40,1000,0.7267267267267268,0.4857511363333125,0.7231984926940586,0.45577882938953734,0.4839345652404339,0.487741935483871,0.3944120407104492,0.007847288588026503,1998,0.7475409836065574,0.0,0.7097124253933803
kalman,catboost,40,5000,0.5678391959798995,0.29941908799933487,0.4779338142263882,0.07310024361826728,0.37452051936379543,0.3476995343967821,0.4022090435028076,0.00789009745995603,1990,0.7050754458161865,0.0,0.19318181818181818
kalman,catboost,40,10000,0.5818181818181818,0.31146384549330625,0.49700533766929006,0.10802364161887627,0.39205236823614803,0.35512754557448883,0.44304466247558594,0.007833856524843159,1980,0.7149258876249569,0.0,0.21946564885496184
wavelet,logistic,5,100,0.7555,0.5176224294727846,0.7338566377015846,0.5389190300222239,0.5030418890972923,0.5331381381381382,1.5724678039550781,0.0002593994140625,2000,0.7925636007827789,0.0,0.7603036876355749
wavelet,logistic,5,500,0.6793396698349174,0.45456683485846233,0.6752920632042696,0.3633526175428134,0.4518005371175586,0.45737272398640333,1.3841259479522705,0.00018212364696752672,1999,0.7046095954844779,0.0,0.6590909090909091
wavelet,logistic,5,1000,0.5835835835835835,0.38992449992581496,0.5814030184131446,0.17174315481161187,0.3884572459293989,0.3914035513349276,1.394057035446167,0.00026371624615337995,1998,0.6048076923076923,0.0,0.5649658074697528
wavelet,logistic,5,5000,0.542713567839196,0.33581106476567174,0.5102573761982451,0.0690883522535886,0.3593561223434946,0.35327034469274193,1.5201752185821533,0.0002438099540058692,1990,0.6436691493531949,0.0,0.3637640449438202
wavelet,logistic,5,10000,0.5222222222222223,0.32733326625691883,0.5033360667096177,0.005434320602051623,0.33465785158867645,0.3350211879623644,1.5162138938903809,0.00010548215923887311,1980,0.6178730287100688,0.0,0.3641267700606878
wavelet,logistic,10,100,0.75,0.5141097846769306,0.7287782651257995,0.5300469457068209,0.49990933188264347,0.529975975975976,1.8352739810943604,0.00031745433807373047,2000,0.7854291417165669,0.0,0.7569002123142251
wavelet,logistic,10,500,0.6618309154577289,0.4437730448725095,0.6582811028242067,0.33509359604953637,0.44215440278546025,0.4478793401811327,2.7538678646087646,0.0009604726450749789,1999,0.6742349457058243,0.0,0.6570841889117043
wavelet,logistic,10,1000,0.5840840840840841,0.3890336538257994,0.5807236644898108,0.1705138259033102,0.3883157953512926,0.3906736853407706,1.3687758445739746,0.0013047391110593016,1998,0.6176744186046511,0.0,0.5494265428727472
wavelet,logistic,10,5000,0.5462311557788945,0.3094258961966867,0.4746854543654439,0.07938212554896323,0.3717038263980819,0.3515028201639687,1.526449203491211,0.00016928917199523005,1990,0.6741248646697943,0.0,0.2541528239202658
wavelet,logistic,10,10000,0.5510101010101011,0.3482507264687245,0.5337249278168812,0.06882779452627562,0.35735537190082645,0.3546469869999282,1.4957959651947021,0.00011005786934284248,1980,0.6404539927036887,0.0,0.4042981867024849
wavelet,logistic,20,100,0.7155,0.49066605984850237,0.6946520107349529,0.4777417385020781,0.48412233325390325,0.5086156156156156,2.7295870780944824,0.00011098384857177734,2000,0.7336574824419233,0.0,0.7383406971035837
wavelet,logistic,20,500,0.6413206603301651,0.43012865082330193,0.637437510302824,0.29893128630622984,0.43032757139919436,0.435219776972316,2.057468891143799,0.00015767351754490528,1999,0.6450632911392405,0.0,0.6453226613306653
wavelet,logistic,20,1000,0.5645645645645646,0.375132452731714,0.5603946851757275,0.1306394070828166,0.37498499653556366,0.37708621728939734,1.363196849822998,0.00016753737990920608,1998,0.6048646167966958,0.0,0.5205327413984462
wavelet,logistic,20,5000,0.528643216080402,0.24635983453021634,0.38627910617379035,0.021849938969632783,0.35666266163176563,0.33558525530834427,1.4736731052398682,0.00015191696397024183,1990,0.6862876254180602,0.0,0.05279187817258883
wavelet,logistic,20,10000,0.5474747474747474,0.23856505720380064,0.39378294874280917,-0.0357732021691127,0.26663272233537,0.33117862529627234,2.6556100845336914,0.0001667725919473051,1980,0.7068062827225131,0.0,0.008888888888888889
wavelet,logistic,40,100,0.664,0.4545114460008077,0.6447825536165962,0.3634297412123622,0.4418537986315389,0.46793393393393395,3.0622310638427734,0.00013113021850585938,2000,0.7030947775628626,0.0,0.6604395604395604
wavelet,logistic,40,500,0.6043021510755378,0.4052690796420349,0.6009156834739746,0.2223850235218968,0.40422290234642855,0.4093721521910347,2.117751121520996,0.0001216543024930434,1999,0.6122448979591837,0.0,0.6035623409669211
wavelet,logistic,40,1000,0.5825825825825826,0.38945366717156293,0.5791050721777469,0.17857902404868892,0.39126896493236646,0.39332709481394196,1.3421440124511719,0.00024462366724634793,1998,0.5690376569037657,0.0,0.5993233446109232
wavelet,logistic,40,5000,0.521608040201005,0.2341245933244969,0.36885289200551497,-0.03596745829187711,0.2819644677442843,0.33049178391325246,2.137065887451172,0.00020846649629985867,1990,0.6837209302325581,0.0,0.01865284974093264
wavelet,logistic,40,10000,0.5525252525252525,0.24000429990887126,0.3961537492828858,0.02425401213140486,0.4062816616008105,0.3342311283487754,1.4828591346740723,0.000320179293854068,1980,0.7110241356816699,0.0,0.008988764044943821
wavelet,xgboost,5,100,0.8475,0.5810601819652016,0.823221174235356,0.7151517526259683,0.5646452356557377,0.5988438438438438,0.3020191192626953,0.0004194974899291992,2000,0.8794466403162056,0.0,0.8637339055793991
wavelet,xgboost,5,500,0.7493746873436719,0.5025975752924504,0.7449159625233142,0.5116418606472247,0.5017779466274292,0.5081223119776009,0.08685517311096191,0.0003786788337406008,1999,0.7548872180451128,0.0,0.7529055078322385
wavelet,xgboost,5,1000,0.6281281281281281,0.4191795925442101,0.622935534111102,0.2753361026542467,0.4249728826402188,0.4249281177136574,0.0912320613861084,0.00036884475876022507,1998,0.6043243243243244,0.0,0.653214453308306
wavelet,xgboost,5,5000,0.571356783919598,0.33870446376933144,0.5166579122805507,0.14478087070151238,0.397212492914965,0.3695538383830155,0.08472990989685059,0.0003748802683461251,1990,0.6851441241685144,0.0,0.3309692671394799
wavelet,xgboost,5,10000,0.6015151515151516,0.37345008677365926,0.5732859759799731,0.17671721602032994,0.4010427919568184,0.38438195791136964,0.08487510681152344,0.00036870590364090124,1980,0.6957528957528958,0.0,0.424597364568082
wavelet,xgboost,10,100,0.8515,0.5838095967734881,0.8270867756008554,0.7226785898229515,0.567297226344672,0.6016366366366367,0.09053516387939453,0.0003619194030761719,2000,0.8830784410458806,0.0,0.8683503492745835
wavelet,xgboost,10,500,0.7488744372186094,0.5022409581642492,0.7445114415280599,0.5088678444698476,0.5006667134770412,0.5073653016426746,0.08907270431518555,0.0005177463991395112,1999,0.7560854446100348,0.0,0.7506374298827129
wavelet,xgboost,10,1000,0.6171171171171171,0.4117743646978748,0.6118753745565165,0.253063934821273,0.4173686040657875,0.4175163081556748,0.09215593338012695,0.0004339981842804719,1998,0.5924324324324325,0.0,0.6428906616611919
wavelet,xgboost,10,5000,0.5281407035175879,0.28197658786788277,0.4356657893924546,0.023555101342730898,0.3452474897787398,0.33805544466802995,0.0826270580291748,0.000372364293390782,1990,0.6697183098591549,0.0,0.1762114537444934
wavelet,xgboost,10,10000,0.5671717171717172,0.33025908979465773,0.5144344666491638,0.08980912852828227,0.3719105968423646,0.35622710622710624,0.08474922180175781,0.00037376326744002525,1980,0.6862170087976539,0.0,0.30456026058631924
wavelet,xgboost,20,100,0.8515,0.5837811372646754,0.8270861300089614,0.7225801383700118,0.5672672071531045,0.6015525525525526,0.09144806861877441,0.00037539005279541016,2000,0.8837438423645321,0.0,0.8675995694294941
wavelet,xgboost,20,500,0.751375687843922,0.5038511856975654,0.7471345846297461,0.5121298099141262,0.5016765201038834,0.5085460040987831,0.08816075325012207,0.0003601921505186187,1999,0.7618110236220472,0.0,0.7497425334706488
wavelet,xgboost,20,1000,0.6191191191191191,0.41402585718906676,0.615845098950236,0.25114530063683593,0.4157558398380301,0.41778168308185576,0.08517313003540039,0.00035738921141600585,1998,0.609375,0.0,0.6327025715672003
wavelet,xgboost,20,5000,0.5175879396984925,0.2735519019955119,0.42334630738938456,-0.011546854046054485,0.3257025870091197,0.3309992640689114,0.08270692825317383,0.0003643371351999254,1990,0.6622050017611835,0.0,0.15845070422535212
wavelet,xgboost,20,10000,0.5772727272727273,0.3354336585747564,0.5223464417914648,0.11650024234670693,0.38469175550131923,0.3624039359333477,0.08288311958312988,0.00035810952234749844,1980,0.6955571740713765,0.0,0.31074380165289256
wavelet,xgboost,40,100,0.853,0.5848090551243743,0.8285231835495603,0.7253217281767825,0.5682582398586099,0.6025525525525526,0.09225225448608398,0.0003598928451538086,2000,0.8849557522123894,0.0,0.8694714131607335
wavelet,xgboost,40,500,0.742871435717859,0.4982002603569584,0.7385834231914374,0.49640589474105495,0.4964315313870174,0.5031459054091018,0.1541891098022461,0.000712751089900419,1999,0.7508667657256067,0.0,0.7437340153452685
wavelet,xgboost,40,1000,0.6241241241241241,0.41737930616205726,0.6208456227333593,0.2611597361027415,0.4191381128677037,0.4211506874263933,0.20069479942321777,0.0006467611104757101,1998,0.6145833333333334,0.0,0.6375545851528385
wavelet,xgboost,40,5000,0.521608040201005,0.27046092051320353,0.41933265891274824,-0.0010325786935985605,0.331363113013094,0.33312932291624237,0.12688302993774414,0.0006361822387081894,1990,0.6685256186824677,0.0,0.14285714285714285
wavelet,xgboost,40,10000,0.5717171717171717,0.3283835806996153,0.5126821611647592,0.10119557024206144,0.37880539722933965,0.3580406521582992,0.09473299980163574,0.0003661772217413392,1980,0.6934491494752081,0.0,0.2917015926236379
wavelet,catboost,5,100,0.8505,0.5830567217909061,0.8260739836067705,0.7203657510647694,0.5665720743236046,0.6006336336336336,0.3892390727996826,0.007532477378845215,2000,0.8829005389514943,0.0,0.8662696264212236
wavelet,catboost,5,500,0.7483741870935467,0.5018629515906221,0.7441487743215139,0.5069595812932476,0.49999699320464247,0.5067065686367491,0.3819849491119385,0.0076289174555539485,1999,0.7582797825012358,0.0,0.7473090722706305
wavelet,catboost,5,1000,0.6281281281281281,0.41907499684483457,0.6227283267237306,0.2759377474868373,0.4252910875348676,0.42502088001179744,0.40088796615600586,0.0076005170056531145,1998,0.6030368763557483,0.0,0.6541881141787552
wavelet,catboost,5,5000,0.557286432160804,0.32136054421768706,0.49187160291252185,0.10996798178739967,0.38450678939809374,0.3592915373356036,0.3791191577911377,0.007815097444620563,1990,0.68,0.0,0.28408163265306124
wavelet,catboost,5,10000,0.5787878787878787,0.3294119817992536,0.5149096133073756,0.12130073679841014,0.39017578549101173,0.361811391223156,0.4099922180175781,0.0077711211310492615,1980,0.7015406664278037,0.0,0.28669527896995706
wavelet,catboost,10,100,0.8515,0.5837662337662337,0.82704329004329,0.7222989034295182,0.5672542735042735,0.6013843843843844,0.38541603088378906,0.0077021121978759766,2000,0.8833333333333333,0.0,0.8679653679653679
